0	1	2	3	4	5	6	7	8
NC_000007.14	Gnomon	gene	31570	36997	.	-	.	"gene_id ""LOC105375112""; transcript_id """"; db_xref ""GeneID:105375112""; description ""putative protein FAM157B""; gbkey ""Gene""; gene ""LOC105375112""; gene_biotype ""protein_coding""; "
NC_000007.14	Gnomon	gene	173171	180726	.	+	.	"gene_id ""LOC105375116""; transcript_id """"; db_xref ""GeneID:105375116""; description ""TRIO and F-actin-binding protein-like""; gbkey ""Gene""; gene ""LOC105375116""; gene_biotype ""protein_coding""; "
NC_000007.14	BestRefSeq%2CGnomon	gene	192571	260772	.	+	.	"gene_id ""FAM20C""; transcript_id """"; db_xref ""GeneID:56975""; db_xref ""HGNC:HGNC:22140""; db_xref ""MIM:611061""; description ""FAM20C golgi associated secretory pathway kinase""; gbkey ""Gene""; gene ""FAM20C""; gene_biotype ""protein_coding""; gene_synonym ""DMP-4""; gene_synonym ""DMP4""; gene_synonym ""G-CK""; gene_synonym ""GEF-CK""; gene_synonym ""RNS""; "
NC_000007.14	Gnomon	gene	262723	264214	.	+	.	"gene_id ""LOC124901807""; transcript_id """"; db_xref ""GeneID:124901807""; description ""G patch domain-containing protein 8-like""; gbkey ""Gene""; gene ""LOC124901807""; gene_biotype ""protein_coding""; "
NC_000007.14	BestRefSeq	gene	290170	291488	.	+	.	"gene_id ""FOXL3""; transcript_id """"; db_xref ""GeneID:116033993""; db_xref ""HGNC:HGNC:54201""; description ""forkhead box L3""; gbkey ""Gene""; gene ""FOXL3""; gene_biotype ""protein_coding""; "
NC_000007.14	BestRefSeq%2CGnomon	gene	497258	520700	.	-	.	"gene_id ""PDGFA""; transcript_id """"; db_xref ""GeneID:5154""; db_xref ""HGNC:HGNC:8799""; db_xref ""MIM:173430""; description ""platelet derived growth factor subunit A""; gbkey ""Gene""; gene ""PDGFA""; gene_biotype ""protein_coding""; gene_synonym ""PDGF-A""; gene_synonym ""PDGF1""; "
NC_000007.14	BestRefSeq%2CGnomon	gene	549197	728934	.	-	.	"gene_id ""PRKAR1B""; transcript_id """"; db_xref ""GeneID:5575""; db_xref ""HGNC:HGNC:9390""; db_xref ""MIM:176911""; description ""protein kinase cAMP-dependent type I regulatory subunit beta""; gbkey ""Gene""; gene ""PRKAR1B""; gene_biotype ""protein_coding""; gene_synonym ""MASNS""; gene_synonym ""PRKAR1""; "
NC_000007.14	BestRefSeq%2CGnomon	gene	726699	786475	.	+	.	"gene_id ""DNAAF5""; transcript_id """"; db_xref ""GeneID:54919""; db_xref ""HGNC:HGNC:26013""; db_xref ""MIM:614864""; description ""dynein axonemal assembly factor 5""; gbkey ""Gene""; gene ""DNAAF5""; gene_biotype ""protein_coding""; gene_synonym ""CILD18""; gene_synonym ""HEATR2""; "
NC_000007.14	BestRefSeq	gene	815557	874934	.	+	.	"gene_id ""SUN1""; transcript_id """"; db_xref ""GeneID:23353""; db_xref ""HGNC:HGNC:18587""; db_xref ""MIM:607723""; description ""Sad1 and UNC84 domain containing 1""; gbkey ""Gene""; gene ""SUN1""; gene_biotype ""protein_coding""; gene_synonym ""UNC84A""; "
NC_000007.14	BestRefSeq	gene	876554	896436	.	+	.	"gene_id ""GET4""; transcript_id """"; db_xref ""GeneID:51608""; db_xref ""HGNC:HGNC:21690""; db_xref ""MIM:612056""; description ""guided entry of tail-anchored proteins factor 4""; gbkey ""Gene""; gene ""GET4""; gene_biotype ""protein_coding""; gene_synonym ""C7orf20""; gene_synonym ""CDG2Y""; gene_synonym ""CEE""; gene_synonym ""CGI-20""; gene_synonym ""TRC35""; "
